sentence_1,sentence_2,label
skillful person cooks meal .,skillful person prepares meal .,0.8854870796203613
skillful person debugs software .,skillful woman prepares application .,0.33788108825683594
skillful woman bakes meal .,man prepares meal .,0.40985456109046936
man prepares useful application .,man bakes tasty dinner .,0.2348746955394745
woman cooks meal .,skillful woman prepares meal .,0.8059686422348022
person prepares useful program .,woman prepares program .,0.7080219984054565
person runs program .,man prepares application .,0.42519524693489075
woman runs program .,person cooks sauce .,0.14160579442977905
man prepares meal .,skillful man prepares program .,0.5114139318466187
skillful woman debugs program .,man prepares software .,0.31293898820877075
woman runs application .,man prepares dinner .,0.011137531138956547
skillful woman bakes meal .,man prepares useful software .,0.009789957664906979
person runs software .,skillful woman bakes sauce .,0.12140028178691864
man cooks sauce .,woman cooks meal .,0.40744704008102417
skillful person cooks meal .,man cooks tasty sauce .,0.5796182155609131
person debugs useful application .,person cooks dinner .,0.04537602886557579
person runs useful application .,skillful man bakes dinner .,0.1380721479654312
skillful man runs software .,woman prepares program .,0.2803915739059448
skillful man prepares program .,woman debugs software .,0.1754295378923416
woman debugs software .,woman prepares useful application .,0.4904129207134247
man debugs useful program .,man bakes tasty meal .,0.10805220156908035
skillful woman prepares application .,man debugs program .,0.13788750767707825
skillful woman prepares application .,man prepares meal .,0.16662414371967316
person prepares useful application .,skillful man cooks meal .,0.1643691509962082
person cooks dinner .,woman bakes dinner .,0.6533722877502441
person runs software .,skillful person cooks meal .,0.2794017195701599
woman debugs useful program .,woman runs application .,0.4438875913619995
woman cooks meal .,person cooks sauce .,0.5801393389701843
person runs application .,woman runs software .,0.5076478719711304
person runs software .,person prepares useful program .,0.6533253788948059
skillful man cooks dinner .,skillful person cooks meal .,0.7664715051651001
man bakes tasty meal .,man cooks sauce .,0.5946153998374939
person bakes tasty sauce .,woman runs useful application .,0.1349526047706604
person cooks meal .,skillful person cooks sauce .,0.6868886351585388
woman debugs useful application .,skillful woman prepares meal .,0.21246547996997833
woman runs software .,person debugs useful software .,0.4555939733982086
woman cooks dinner .,person debugs useful software .,0.0074341753497719765
skillful man prepares software .,skillful man cooks meal .,0.4284816086292267
skillful person prepares meal .,person prepares tasty sauce .,0.717263400554657
woman prepares program .,person prepares useful application .,0.4629158675670624
woman bakes tasty meal .,skillful woman runs program .,0.29081404209136963
person prepares useful application .,woman bakes dinner .,0.059272896498441696
man prepares useful application .,skillful person bakes dinner .,0.1435828059911728
woman prepares dinner .,skillful woman prepares application .,0.405060350894928
woman prepares program .,person debugs useful software .,0.26944416761398315
person cooks sauce .,person runs useful program .,0.237938791513443
woman prepares tasty meal .,skillful person debugs software .,0.04514346271753311
woman runs application .,skillful man prepares software .,0.20150402188301086
person prepares useful program .,woman debugs application .,0.3525834381580353
person bakes dinner .,woman prepares tasty meal .,0.5402805805206299
woman runs useful application .,woman prepares program .,0.5834633708000183
person bakes dinner .,man prepares dinner .,0.6152921319007874
skillful woman prepares application .,woman cooks dinner .,0.22383171319961548
man debugs useful software .,man prepares useful software .,0.5677024722099304
woman runs program .,person bakes tasty sauce .,0.14546708762645721
person runs useful program .,man prepares dinner .,0.1509198397397995
skillful man bakes dinner .,skillful person bakes meal .,0.796805739402771
skillful person debugs software .,man debugs useful program .,0.8142446875572205
person prepares useful application .,person debugs useful software .,0.4821731448173523
skillful woman prepares application .,man bakes tasty dinner .,0.00856324378401041
woman bakes dinner .,skillful man bakes dinner .,0.6093475222587585
man prepares useful software .,person cooks dinner .,0.0774424746632576
skillful woman runs program .,woman prepares sauce .,0.3822595179080963
man prepares dinner .,woman bakes dinner .,0.3731873333454132
man debugs useful program .,woman cooks meal .,0.028136882930994034
man debugs useful program .,person runs software .,0.431499719619751
man prepares dinner .,skillful person bakes meal .,0.4884377717971802
skillful woman runs program .,man bakes tasty sauce .,0.052615970373153687
person bakes dinner .,person cooks sauce .,0.5801779627799988
man debugs program .,person prepares useful program .,0.4278002381324768
skillful man prepares software .,skillful man prepares program .,0.8062650561332703
person prepares useful application .,person cooks meal .,0.19209499657154083
person runs application .,skillful woman bakes meal .,0.05694739520549774
woman prepares dinner .,skillful person cooks meal .,0.5372759699821472
skillful person bakes dinner .,skillful woman bakes sauce .,0.6678149104118347
woman runs software .,skillful woman debugs program .,0.5585736632347107
woman cooks tasty meal .,man bakes tasty meal .,0.5617605447769165
skillful man prepares sauce .,person cooks dinner .,0.4264046549797058
woman bakes tasty meal .,man prepares application .,0.10955558717250824
woman cooks tasty meal .,person runs useful program .,0.009231746196746826
skillful person cooks meal .,person prepares tasty sauce .,0.6062860488891602
man runs software .,person cooks sauce .,0.18300847709178925
person runs software .,man prepares useful application .,0.4919988811016083
skillful person bakes dinner .,woman runs program .,0.1046341061592102
man bakes tasty meal .,skillful woman bakes meal .,0.6347270607948303
person cooks meal .,woman cooks tasty meal .,0.7502726316452026
skillful man debugs software .,person bakes tasty sauce .,0.11242600530385971
woman prepares useful application .,person runs software .,0.3794912099838257
person debugs useful application .,woman cooks dinner .,0.016007766127586365
person prepares program .,woman runs program .,0.5542633533477783
skillful person prepares meal .,woman bakes tasty meal .,0.49445390701293945
person prepares useful program .,skillful man debugs software .,0.43133699893951416
skillful person bakes sauce .,woman prepares tasty meal .,0.507172167301178
person prepares useful application .,man prepares meal .,0.3114212453365326
woman cooks meal .,person debugs useful application .,0.013736603781580925
woman runs useful application .,skillful woman runs program .,0.7973522543907166
man bakes tasty meal .,woman prepares program .,0.020629338920116425
woman bakes dinner .,man debugs application .,0.03869815170764923
skillful man prepares software .,skillful man prepares sauce .,0.5451728701591492
man prepares application .,skillful person bakes dinner .,0.12906008958816528
man prepares meal .,woman prepares program .,0.18616615235805511
woman prepares useful application .,woman cooks tasty meal .,0.27639493346214294
person debugs useful application .,skillful person bakes meal .,0.1636369675397873
woman cooks dinner .,woman prepares program .,0.2630968689918518
person cooks sauce .,man runs software .,0.18300847709178925
skillful man prepares program .,man debugs useful application .,0.28854283690452576
man prepares dinner .,man debugs useful application .,0.07354743033647537
man debugs application .,skillful man bakes meal .,0.12080895900726318
man prepares application .,skillful person cooks sauce .,0.18557347357273102
skillful man prepares software .,skillful woman runs program .,0.41019394993782043
man cooks tasty meal .,person runs useful application .,0.10167869925498962
person prepares tasty meal .,woman runs program .,0.14572037756443024
man debugs useful program .,person runs useful program .,0.4873389005661011
woman runs software .,woman cooks tasty meal .,0.31892892718315125
woman debugs useful program .,woman debugs software .,0.9484273195266724
skillful woman prepares application .,person debugs useful application .,0.29400813579559326
woman debugs software .,woman runs application .,0.4151321053504944
man cooks dinner .,woman prepares tasty meal .,0.40214040875434875
skillful woman debugs program .,man bakes tasty dinner .,0.009902998805046082
skillful man runs software .,man prepares program ,0.5348117351531982
person debugs useful software .,person runs program .,0.3893914520740509
skillful person cooks sauce .,person bakes tasty sauce .,0.8040224313735962
woman prepares sauce .,person prepares useful application .,0.1910543143749237
skillful man runs software .,skillful woman bakes meal .,0.12890371680259705
man debugs program .,woman runs application .,0.1967577189207077
man cooks dinner .,skillful person cooks meal .,0.6643342971801758
woman runs program .,man debugs useful software .,0.18554198741912842
skillful woman prepares meal .,man cooks sauce .,0.32759007811546326
woman debugs useful application .,man debugs useful application .,0.7330319285392761
woman runs program .,man bakes tasty dinner .,0.06447941809892654
man bakes tasty sauce .,man cooks tasty meal .,0.7395001649856567
person prepares useful application .,skillful man cooks dinner .,0.1057594045996666
man prepares software .,skillful person cooks sauce .,0.259941041469574
woman debugs application .,man cooks tasty sauce .,0.030323902145028114
woman cooks tasty meal .,skillful man cooks dinner .,0.48003193736076355
woman runs application .,person prepares useful application .,0.5025628209114075
woman bakes tasty meal .,skillful person cooks meal .,0.6040406823158264
skillful person bakes meal .,skillful woman bakes meal .,0.8363731503486633
person runs program .,skillful woman bakes sauce .,0.14074300229549408
person runs application .,woman cooks meal .,0.009719494730234146
man cooks sauce .,man debugs program .,0.197548046708107
skillful man debugs software .,man cooks dinner .,0.10181206464767456
man bakes tasty dinner .,skillful person cooks sauce .,0.4729962944984436
person prepares program .,woman bakes dinner .,0.03585439175367355
man debugs program .,man cooks dinner .,0.08480004221200943
man bakes tasty dinner .,person prepares useful program .,0.07732605934143066
woman runs application .,woman cooks tasty dinner .,0.16682767868041992
skillful person debugs software .,woman prepares program .,0.30150851607322693
man cooks dinner .,man debugs useful program .,0.07901842892169952
skillful man debugs software .,woman prepares tasty meal .,0.007337780669331551
person prepares useful application .,woman debugs application .,0.3874718248844147
woman cooks tasty meal .,man prepares useful application .,0.07660134881734848
person bakes dinner .,woman debugs software .,0.03132288157939911
man bakes tasty sauce .,skillful man prepares sauce .,0.7507131695747375
skillful man cooks meal .,skillful woman bakes sauce .,0.3979376554489136
person prepares tasty meal .,woman runs useful application .,0.1321738064289093
woman debugs useful program .,man debugs program .,0.7605028748512268
man bakes tasty sauce .,woman bakes dinner .,0.38640275597572327
person cooks dinner .,man debugs useful program .,0.002392545808106661
man prepares program ,woman runs software .,0.28202298283576965
