sentence_1,sentence_2,label
person cooks sauce .,skillful man prepares program .,0.1
woman prepares program .,person debugs useful software .,0.9
skillful person cooks sauce .,skillful man runs software .,0.1
skillful man cooks dinner .,man prepares application .,0.1
man cooks dinner .,person prepares useful program .,0.1
person runs software .,man bakes tasty meal .,0.1
woman debugs software .,woman bakes tasty meal .,0.1
person bakes dinner .,man bakes tasty dinner .,0.9
woman runs useful application .,man debugs useful software .,0.9
man cooks dinner .,person cooks meal .,0.9
man bakes tasty dinner .,man prepares application .,0.1
man bakes tasty meal .,man bakes tasty sauce .,0.9
man debugs application .,woman bakes dinner .,0.1
person cooks sauce .,woman cooks tasty dinner .,0.9
woman prepares dinner .,woman bakes dinner .,0.9
skillful person bakes sauce .,woman cooks dinner .,0.9
woman prepares sauce .,man bakes tasty meal .,0.9
man runs software .,woman runs program .,0.9
man bakes tasty sauce .,woman cooks tasty meal .,0.9
woman debugs useful program .,woman prepares useful application .,0.9
woman cooks tasty dinner .,skillful woman runs program .,0.1
skillful person bakes dinner .,woman runs software .,0.1
person runs useful program .,person bakes dinner .,0.1
person runs software .,skillful person debugs software .,0.9
person prepares tasty meal .,person debugs useful application .,0.1
man bakes tasty sauce .,skillful person cooks meal .,0.9
woman prepares useful application .,skillful man debugs software .,0.9
woman debugs software .,man debugs program .,0.9
man debugs program .,skillful woman prepares meal .,0.1
man cooks tasty meal .,woman debugs useful program .,0.1
man prepares program ,woman prepares sauce .,0.1
skillful person debugs software .,woman bakes tasty meal .,0.1
skillful woman bakes sauce .,person prepares useful application .,0.1
skillful person bakes dinner .,man bakes tasty sauce .,0.9
skillful man prepares software .,skillful man bakes dinner .,0.1
person runs application .,skillful person bakes dinner .,0.1
man debugs program .,woman debugs software .,0.9
skillful man runs software .,man debugs application .,0.9
person debugs useful software .,man debugs program .,0.9
woman runs program .,skillful person debugs software .,0.9
man bakes tasty dinner .,skillful man prepares program .,0.1
woman runs useful application .,skillful woman debugs program .,0.9
woman cooks tasty meal .,skillful woman bakes sauce .,0.9
man debugs useful program .,man debugs program .,0.9
skillful man prepares program .,woman debugs software .,0.9
person debugs useful software .,skillful person cooks sauce .,0.1
man cooks dinner .,woman debugs software .,0.1
man cooks dinner .,person cooks meal .,0.9
skillful woman bakes sauce .,person prepares tasty sauce .,0.9
woman runs program .,man prepares useful software .,0.9
person bakes dinner .,man debugs application .,0.1
man cooks tasty sauce .,woman runs useful application .,0.1
